pair,total_ibd_mb,sample_a,sample_b
"('NA19328_NA19328', 'NA19380_NA19380')",59.63549,NA19328_NA19328,NA19380_NA19380
"('NA19038_NA19038', 'NA19321_NA19321')",59.188652999999995,NA19038_NA19038,NA19321_NA19321
"('NA19046_NA19046', 'NA19440_NA19440')",59.064999,NA19046_NA19046,NA19440_NA19440
"('NA19390_NA19390', 'NA19443_NA19443')",58.894446,NA19390_NA19390,NA19443_NA19443
"('NA19318_NA19318', 'NA19473_NA19473')",58.661347,NA19318_NA19318,NA19473_NA19473
"('NA19311_NA19311', 'NA19474_NA19474')",58.543286,NA19311_NA19311,NA19474_NA19474
"('NA19384_NA19384', 'NA19451_NA19451')",58.527811,NA19384_NA19384,NA19451_NA19451
"('NA19035_NA19035', 'NA19462_NA19462')",58.453013,NA19035_NA19035,NA19462_NA19462
"('NA19318_NA19318', 'NA19338_NA19338')",58.409045,NA19318_NA19318,NA19338_NA19338
"('NA19376_NA19376', 'NA19384_NA19384')",58.320304,NA19376_NA19376,NA19384_NA19384
"('NA19377_NA19377', 'NA19379_NA19379')",58.288041,NA19377_NA19377,NA19379_NA19379
"('NA19350_NA19350', 'NA19384_NA19384')",57.90276,NA19350_NA19350,NA19384_NA19384
"('NA19350_NA19350', 'NA19399_NA19399')",57.71102,NA19350_NA19350,NA19399_NA19399
"('NA19321_NA19321', 'NA19469_NA19469')",57.701764,NA19321_NA19321,NA19469_NA19469
"('NA19403_NA19403', 'NA19461_NA19461')",57.669919,NA19403_NA19403,NA19461_NA19461
"('NA19360_NA19360', 'NA19437_NA19437')",57.643833,NA19360_NA19360,NA19437_NA19437
"('NA19351_NA19351', 'NA19394_NA19394')",57.369012000000005,NA19351_NA19351,NA19394_NA19394
"('NA19319_NA19319', 'NA19467_NA19467')",57.225955,NA19319_NA19319,NA19467_NA19467
"('NA19350_NA19350', 'NA19435_NA19435')",57.186775,NA19350_NA19350,NA19435_NA19435
