pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19377_NA19377', 'NA19446_NA19446')",65.882755,NA19377_NA19377,NA19446_NA19446,0.0205883609375
"('NA19390_NA19390', 'NA19468_NA19468')",65.864869,NA19390_NA19390,NA19468_NA19468,0.0205827715625
"('NA19319_NA19319', 'NA19440_NA19440')",65.673467,NA19319_NA19319,NA19440_NA19440,0.020522958437500002
"('NA19381_NA19381', 'NA19469_NA19469')",65.518078,NA19381_NA19381,NA19469_NA19469,0.020474399375
"('NA19319_NA19319', 'NA19394_NA19394')",65.286352,NA19319_NA19319,NA19394_NA19394,0.020401984999999997
"('NA19311_NA19311', 'NA19379_NA19379')",65.169435,NA19311_NA19311,NA19379_NA19379,0.0203654484375
"('NA19390_NA19390', 'NA19446_NA19446')",64.802442,NA19390_NA19390,NA19446_NA19446,0.020250763125
"('NA19321_NA19321', 'NA19470_NA19470')",64.317267,NA19321_NA19321,NA19470_NA19470,0.0200991459375
"('NA19044_NA19044', 'NA19467_NA19467')",64.271754,NA19044_NA19044,NA19467_NA19467,0.020084923125
"('NA19374_NA19374', 'NA19390_NA19390')",63.195859000000006,NA19374_NA19374,NA19390_NA19390,0.019748705937500003
"('NA19317_NA19317', 'NA19379_NA19379')",62.948523,NA19317_NA19317,NA19379_NA19379,0.0196714134375
"('NA19317_NA19317', 'NA19440_NA19440')",62.789654,NA19317_NA19317,NA19440_NA19440,0.019621766875
"('NA19308_NA19308', 'NA19466_NA19466')",62.445862999999996,NA19308_NA19308,NA19466_NA19466,0.019514332187499997
"('NA19455_NA19455', 'NA19461_NA19461')",61.971468,NA19455_NA19455,NA19461_NA19461,0.01936608375
"('NA19328_NA19328', 'NA19466_NA19466')",61.9121,NA19328_NA19328,NA19466_NA19466,0.01934753125
"('NA19434_NA19434', 'NA19455_NA19455')",61.559921,NA19434_NA19434,NA19455_NA19455,0.019237475312500002
"('NA19360_NA19360', 'NA19381_NA19381')",61.479591,NA19360_NA19360,NA19381_NA19381,0.0192123721875
"('NA19321_NA19321', 'NA19403_NA19403')",61.370381,NA19321_NA19321,NA19403_NA19403,0.019178244062500002
"('NA19346_NA19346', 'NA19452_NA19452')",61.257199,NA19346_NA19346,NA19452_NA19452,0.0191428746875
"('NA19328_NA19328', 'NA19404_NA19404')",61.247476,NA19328_NA19328,NA19404_NA19404,0.01913983625
"('NA19346_NA19346', 'NA19372_NA19372')",60.746103999999995,NA19346_NA19346,NA19372_NA19372,0.0189831575
"('NA19312_NA19312', 'NA19338_NA19338')",60.531172999999995,NA19312_NA19312,NA19338_NA19338,0.018915991562499998
"('NA19373_NA19373', 'NA19439_NA19439')",60.515438,NA19373_NA19373,NA19439_NA19439,0.018911074375
"('NA19315_NA19315', 'NA19451_NA19451')",60.301126000000004,NA19315_NA19315,NA19451_NA19451,0.018844101875
"('NA19308_NA19308', 'NA19375_NA19375')",60.200896,NA19308_NA19308,NA19375_NA19375,0.01881278
"('NA19328_NA19328', 'NA19436_NA19436')",59.962868,NA19328_NA19328,NA19436_NA19436,0.01873839625
"('NA19359_NA19359', 'NA19438_NA19438')",59.929837,NA19359_NA19359,NA19438_NA19438,0.0187280740625
"('NA19428_NA19428', 'NA19451_NA19451')",59.798401,NA19428_NA19428,NA19451_NA19451,0.0186870003125
"('NA19328_NA19328', 'NA19380_NA19380')",59.63549,NA19328_NA19328,NA19380_NA19380,0.018636090625
"('NA19038_NA19038', 'NA19321_NA19321')",59.188652999999995,NA19038_NA19038,NA19321_NA19321,0.018496454062499997
"('NA19046_NA19046', 'NA19440_NA19440')",59.064999,NA19046_NA19046,NA19440_NA19440,0.0184578121875
"('NA19390_NA19390', 'NA19443_NA19443')",58.894446,NA19390_NA19390,NA19443_NA19443,0.018404514375
"('NA19318_NA19318', 'NA19473_NA19473')",58.661347,NA19318_NA19318,NA19473_NA19473,0.0183316709375
"('NA19311_NA19311', 'NA19474_NA19474')",58.543286,NA19311_NA19311,NA19474_NA19474,0.018294776875
"('NA19384_NA19384', 'NA19451_NA19451')",58.527811,NA19384_NA19384,NA19451_NA19451,0.0182899409375
"('NA19035_NA19035', 'NA19462_NA19462')",58.453013,NA19035_NA19035,NA19462_NA19462,0.0182665665625
"('NA19318_NA19318', 'NA19338_NA19338')",58.409045,NA19318_NA19318,NA19338_NA19338,0.0182528265625
"('NA19376_NA19376', 'NA19384_NA19384')",58.320304,NA19376_NA19376,NA19384_NA19384,0.018225095
"('NA19377_NA19377', 'NA19379_NA19379')",58.288041,NA19377_NA19377,NA19379_NA19379,0.0182150128125
"('NA19350_NA19350', 'NA19384_NA19384')",57.90276,NA19350_NA19350,NA19384_NA19384,0.0180946125
"('NA19350_NA19350', 'NA19399_NA19399')",57.71102,NA19350_NA19350,NA19399_NA19399,0.01803469375
"('NA19321_NA19321', 'NA19469_NA19469')",57.701764,NA19321_NA19321,NA19469_NA19469,0.01803180125
"('NA19403_NA19403', 'NA19461_NA19461')",57.669919,NA19403_NA19403,NA19461_NA19461,0.0180218496875
"('NA19360_NA19360', 'NA19437_NA19437')",57.643833,NA19360_NA19360,NA19437_NA19437,0.0180136978125
"('NA19351_NA19351', 'NA19394_NA19394')",57.369012000000005,NA19351_NA19351,NA19394_NA19394,0.017927816250000003
"('NA19319_NA19319', 'NA19467_NA19467')",57.225955,NA19319_NA19319,NA19467_NA19467,0.0178831109375
"('NA19350_NA19350', 'NA19435_NA19435')",57.186775,NA19350_NA19350,NA19435_NA19435,0.0178708671875
"('NA19312_NA19312', 'NA19375_NA19375')",57.16957299999999,NA19312_NA19312,NA19375_NA19375,0.0178654915625
"('NA19328_NA19328', 'NA19446_NA19446')",57.091818999999994,NA19328_NA19328,NA19446_NA19446,0.0178411934375
"('NA19380_NA19380', 'NA19443_NA19443')",57.004896,NA19380_NA19380,NA19443_NA19443,0.01781403
"('NA19327_NA19327', 'NA19396_NA19396')",56.940342,NA19327_NA19327,NA19396_NA19396,0.017793856875
"('NA19316_NA19316', 'NA19468_NA19468')",56.925816000000005,NA19316_NA19316,NA19468_NA19468,0.017789317500000002
"('NA19377_NA19377', 'NA19452_NA19452')",56.92065,NA19377_NA19377,NA19452_NA19452,0.017787703125000002
"('NA19318_NA19318', 'NA19346_NA19346')",56.746363,NA19318_NA19318,NA19346_NA19346,0.0177332384375
"('NA19453_NA19453', 'NA19455_NA19455')",56.511101000000004,NA19453_NA19453,NA19455_NA19455,0.017659719062500003
"('NA19379_NA19379', 'NA19431_NA19431')",56.465889,NA19379_NA19379,NA19431_NA19431,0.0176455903125
"('NA19327_NA19327', 'NA19474_NA19474')",56.277348,NA19327_NA19327,NA19474_NA19474,0.01758667125
"('NA19391_NA19391', 'NA19397_NA19397')",56.152531,NA19391_NA19391,NA19397_NA19397,0.0175476659375
"('NA19310_NA19310', 'NA19372_NA19372')",56.084753,NA19310_NA19310,NA19372_NA19372,0.0175264853125
"('NA19347_NA19347', 'NA19430_NA19430')",55.871345000000005,NA19347_NA19347,NA19430_NA19430,0.017459795312500002
"('NA19327_NA19327', 'NA19382_NA19382')",55.796186000000006,NA19327_NA19327,NA19382_NA19382,0.017436308125
"('NA19404_NA19404', 'NA19446_NA19446')",55.754263,NA19404_NA19404,NA19446_NA19446,0.0174232071875
"('NA19038_NA19038', 'NA19351_NA19351')",55.694667,NA19038_NA19038,NA19351_NA19351,0.0174045834375
"('NA19383_NA19383', 'NA19455_NA19455')",55.630297999999996,NA19383_NA19383,NA19455_NA19455,0.017384468125
"('NA19308_NA19308', 'NA19439_NA19439')",55.592771,NA19308_NA19308,NA19439_NA19439,0.0173727409375
"('NA19334_NA19334', 'NA19371_NA19371')",55.531442999999996,NA19334_NA19334,NA19371_NA19371,0.017353575937499997
"('NA19390_NA19390', 'NA19448_NA19448')",55.388865,NA19390_NA19390,NA19448_NA19448,0.0173090203125
"('NA19309_NA19309', 'NA19461_NA19461')",55.382066,NA19309_NA19309,NA19461_NA19461,0.017306895625
"('NA19319_NA19319', 'NA19346_NA19346')",55.377708,NA19319_NA19319,NA19346_NA19346,0.01730553375
"('NA19309_NA19309', 'NA19436_NA19436')",55.309325,NA19309_NA19309,NA19436_NA19436,0.0172841640625
"('NA19382_NA19382', 'NA19434_NA19434')",55.268656,NA19382_NA19382,NA19434_NA19434,0.017271455
"('NA19397_NA19397', 'NA19398_NA19398')",55.167306,NA19397_NA19397,NA19398_NA19398,0.017239783125
"('NA19440_NA19440', 'NA19446_NA19446')",55.015377,NA19440_NA19440,NA19446_NA19446,0.0171923053125
"('NA19346_NA19346', 'NA19375_NA19375')",54.879764,NA19346_NA19346,NA19375_NA19375,0.01714992625
"('NA19351_NA19351', 'NA19398_NA19398')",54.783868,NA19351_NA19351,NA19398_NA19398,0.01711995875
"('NA19379_NA19379', 'NA19469_NA19469')",54.777667,NA19379_NA19379,NA19469_NA19469,0.0171180209375
"('NA19332_NA19332', 'NA19398_NA19398')",54.710927000000005,NA19332_NA19332,NA19398_NA19398,0.017097164687500003
"('NA19044_NA19044', 'NA19471_NA19471')",54.694894,NA19044_NA19044,NA19471_NA19471,0.017092154374999998
"('NA19318_NA19318', 'NA19379_NA19379')",54.671543,NA19318_NA19318,NA19379_NA19379,0.0170848571875
"('NA19385_NA19385', 'NA19396_NA19396')",54.489292,NA19385_NA19385,NA19396_NA19396,0.01702790375
"('NA19391_NA19391', 'NA19396_NA19396')",54.335347,NA19391_NA19391,NA19396_NA19396,0.0169797959375
"('NA19376_NA19376', 'NA19468_NA19468')",54.244589000000005,NA19376_NA19376,NA19468_NA19468,0.016951434062500003
"('NA19360_NA19360', 'NA19456_NA19456')",54.171549,NA19360_NA19360,NA19456_NA19456,0.0169286090625
"('NA19316_NA19316', 'NA19467_NA19467')",54.162915,NA19316_NA19316,NA19467_NA19467,0.0169259109375
"('NA19318_NA19318', 'NA19463_NA19463')",54.145542999999996,NA19318_NA19318,NA19463_NA19463,0.0169204821875
"('NA19328_NA19328', 'NA19440_NA19440')",53.984363,NA19328_NA19328,NA19440_NA19440,0.0168701134375
"('NA19319_NA19319', 'NA19373_NA19373')",53.86511,NA19319_NA19319,NA19373_NA19373,0.016832846875
"('NA19331_NA19331', 'NA19395_NA19395')",53.795326,NA19331_NA19331,NA19395_NA19395,0.016811039375
"('NA19338_NA19338', 'NA19352_NA19352')",53.61919,NA19338_NA19338,NA19352_NA19352,0.016755996875
"('NA19435_NA19435', 'NA19466_NA19466')",53.533549,NA19435_NA19435,NA19466_NA19466,0.0167292340625
"('NA19331_NA19331', 'NA19379_NA19379')",53.434919,NA19331_NA19331,NA19379_NA19379,0.0166984121875
"('NA19350_NA19350', 'NA19393_NA19393')",53.203681,NA19350_NA19350,NA19393_NA19393,0.0166261503125
"('NA19308_NA19308', 'NA19328_NA19328')",53.16725,NA19308_NA19308,NA19328_NA19328,0.016614765625
"('NA19035_NA19035', 'NA19463_NA19463')",53.138893,NA19035_NA19035,NA19463_NA19463,0.0166059040625
"('NA19372_NA19372', 'NA19466_NA19466')",53.035407,NA19372_NA19372,NA19466_NA19466,0.0165735646875
"('NA19359_NA19359', 'NA19451_NA19451')",53.027688,NA19359_NA19359,NA19451_NA19451,0.0165711525
"('NA19332_NA19332', 'NA19377_NA19377')",53.025147,NA19332_NA19332,NA19377_NA19377,0.0165703584375
"('NA19334_NA19334', 'NA19390_NA19390')",52.971805,NA19334_NA19334,NA19390_NA19390,0.0165536890625
