sample_a,sample_b,total_ibd_mb,pi_hat
NA19044_NA19044,NA19316_NA19316,44.430017,0.0138843803125
NA19372_NA19372,NA19384_NA19384,44.412384,0.013878870000000001
NA19315_NA19315,NA19380_NA19380,44.380604,0.013868938749999999
NA19316_NA19316,NA19381_NA19381,44.361017,0.013862817812499999
NA19338_NA19338,NA19457_NA19457,44.270224,0.013834444999999999
NA19321_NA19321,NA19463_NA19463,44.250117,0.013828161562500002
NA19461_NA19461,NA19468_NA19468,44.214985,0.0138171828125
NA19435_NA19435,NA19452_NA19452,44.191978999999996,0.0138099934375
NA19307_NA19307,NA19469_NA19469,44.106855,0.0137833921875
NA19328_NA19328,NA19430_NA19430,44.088341,0.0137776065625
NA19431_NA19431,NA19436_NA19436,44.056284,0.013767588749999999
NA19331_NA19331,NA19391_NA19391,43.94385,0.013732453124999999
NA19346_NA19346,NA19355_NA19355,43.902762,0.013719613125
NA19038_NA19038,NA19399_NA19399,43.771539000000004,0.013678605937500001
NA19311_NA19311,NA19437_NA19437,43.737610000000004,0.013668003125000001
NA19309_NA19309,NA19446_NA19446,43.736969,0.013667802812500001
NA19346_NA19346,NA19468_NA19468,43.715925,0.0136612265625
NA19317_NA19317,NA19436_NA19436,43.704215,0.013657567187499999
NA19431_NA19431,NA19437_NA19437,43.668563999999996,0.01364642625
NA19311_NA19311,NA19451_NA19451,43.665144,0.0136453575
NA19457_NA19457,NA19462_NA19462,43.642654,0.013638329375000001
NA19372_NA19372,NA19381_NA19381,43.598240999999994,0.013624450312499998
NA19316_NA19316,NA19338_NA19338,43.569135,0.013615354687500001
NA19448_NA19448,NA19461_NA19461,43.568484000000005,0.013615151250000002
NA19308_NA19308,NA19436_NA19436,43.499856,0.013593705000000001
NA19384_NA19384,NA19428_NA19428,43.474101,0.0135856565625
NA19374_NA19374,NA19379_NA19379,43.456098,0.013580030625
NA19346_NA19346,NA19429_NA19429,43.383271,0.0135572721875
NA19046_NA19046,NA19324_NA19324,43.326235,0.013539448437499999
NA19434_NA19434,NA19437_NA19437,43.302876,0.013532148749999999
NA19437_NA19437,NA19462_NA19462,43.133133,0.0134791040625
NA19338_NA19338,NA19381_NA19381,43.124333,0.0134763540625
NA19384_NA19384,NA19396_NA19396,43.108595,0.0134714359375
NA19383_NA19383,NA19436_NA19436,43.093382,0.013466681874999999
NA19376_NA19376,NA19399_NA19399,43.082425,0.0134632578125
NA19375_NA19375,NA19430_NA19430,43.033966,0.013448114375
NA19382_NA19382,NA19466_NA19466,43.021325,0.0134441640625
NA19440_NA19440,NA19461_NA19461,43.001844,0.01343807625
NA19396_NA19396,NA19399_NA19399,42.958861999999996,0.013424644375
