pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19467', 'NA19470')",184.364996,NA19467,NA19470,0.057614061249999994
"('NA19351', 'NA19430')",184.277554,NA19351,NA19430,0.057586735625
"('NA19044', 'NA19351')",184.158582,NA19044,NA19351,0.057549556875
"('NA19397', 'NA19461')",184.10953,NA19397,NA19461,0.057534228125
"('NA19334', 'NA19359')",183.978979,NA19334,NA19359,0.057493430937500006
"('NA19373', 'NA19474')",183.89166,NA19373,NA19474,0.057466143750000004
"('NA19046', 'NA19435')",183.854377,NA19046,NA19435,0.0574544928125
"('NA19041', 'NA19395')",183.607808,NA19041,NA19395,0.05737744
"('NA19390', 'NA19468')",183.53659,NA19390,NA19468,0.057355184375
"('NA19374', 'NA19428')",183.449637,NA19374,NA19428,0.057328011562499996
"('NA19352', 'NA19403')",183.410154,NA19352,NA19403,0.057315673125
"('NA19394', 'NA19457')",183.381323,NA19394,NA19457,0.0573066634375
"('NA19375', 'NA19380')",183.326638,NA19375,NA19380,0.057289574375
"('NA19351', 'NA19451')",183.28810099999998,NA19351,NA19451,0.0572775315625
"('NA19351', 'NA19382')",183.264394,NA19351,NA19382,0.057270123125
"('NA19380', 'NA19434')",183.164818,NA19380,NA19434,0.057239005625
"('NA19446', 'NA19456')",183.146604,NA19446,NA19456,0.05723331375
"('NA19383', 'NA19440')",182.97184000000001,NA19383,NA19440,0.057178700000000006
"('NA19308', 'NA19359')",182.936731,NA19308,NA19359,0.0571677284375
"('NA19448', 'NA19452')",182.908689,NA19448,NA19452,0.057158965312500004
"('NA19332', 'NA19462')",182.906336,NA19332,NA19462,0.057158230000000004
"('NA19347', 'NA19391')",182.894167,NA19347,NA19391,0.0571544271875
"('NA19041', 'NA19446')",182.848118,NA19041,NA19446,0.057140036875
"('NA19307', 'NA19436')",182.795849,NA19307,NA19436,0.0571237028125
"('NA19046', 'NA19457')",182.791791,NA19046,NA19457,0.057122434687499994
"('NA19334', 'NA19468')",182.761593,NA19334,NA19468,0.0571129978125
"('NA19313', 'NA19474')",182.687382,NA19313,NA19474,0.057089806875
"('NA19379', 'NA19452')",182.54862,NA19379,NA19452,0.05704644375
