IID1	IID2	PI_HAT	relationship
NA19044	NA19319	0.0434	unrelated
NA19044	NA19321	0.0428	unrelated
NA19044	NA19324	0.0447	unrelated
NA19044	NA19327	0.0355	unrelated
NA19044	NA19328	0.0471	unrelated
NA19044	NA19331	0.0428	unrelated
NA19044	NA19332	0.0435	unrelated
NA19044	NA19334	0.0389	unrelated
NA19044	NA19338	0.0432	unrelated
NA19044	NA19346	0.0476	unrelated
NA19044	NA19347	0.046	unrelated
NA19044	NA19350	0.0457	unrelated
NA19044	NA19351	0.0485	unrelated
NA19044	NA19352	0.0429	unrelated
NA19044	NA19355	0.0434	unrelated
NA19044	NA19359	0.0455	unrelated
NA19044	NA19360	0.0458	unrelated
NA19044	NA19371	0.0424	unrelated
NA19044	NA19372	0.0391	unrelated
NA19044	NA19373	0.0434	unrelated
NA19044	NA19374	0.0477	unrelated
NA19044	NA19375	0.0419	unrelated
NA19044	NA19376	0.0909	unrelated
NA19044	NA19377	0.0433	unrelated
NA19044	NA19379	0.0437	unrelated
NA19044	NA19380	0.0924	unrelated
NA19044	NA19381	0.041	unrelated
NA19044	NA19382	0.0399	unrelated
NA19044	NA19383	0.0435	unrelated
NA19044	NA19384	0.0547	unrelated
NA19044	NA19385	0.0427	unrelated
NA19044	NA19390	0.0394	unrelated
NA19044	NA19391	0.0474	unrelated
NA19044	NA19393	0.0376	unrelated
NA19044	NA19394	0.0447	unrelated
NA19044	NA19395	0.0398	unrelated
NA19044	NA19396	0.046	unrelated
NA19044	NA19397	0.0443	unrelated
NA19044	NA19398	0.05	unrelated
NA19044	NA19399	0.0471	unrelated
NA19044	NA19401	0.042	unrelated
NA19044	NA19403	0.0384	unrelated
NA19044	NA19404	0.0469	unrelated
NA19044	NA19428	0.0467	unrelated
NA19044	NA19429	0.043	unrelated
NA19044	NA19430	0.0484	unrelated
NA19044	NA19431	0.0411	unrelated
NA19044	NA19434	0.0436	unrelated
NA19044	NA19435	0.0436	unrelated
NA19044	NA19436	0.049	unrelated
NA19044	NA19437	0.0375	unrelated
NA19044	NA19438	0.0423	unrelated
NA19044	NA19439	0.0455	unrelated
NA19044	NA19440	0.0434	unrelated
NA19044	NA19443	0.0421	unrelated
NA19044	NA19444	0.0414	unrelated
NA19044	NA19445	0.0396	unrelated
NA19044	NA19446	0.0461	unrelated
NA19044	NA19448	0.0503	unrelated
NA19044	NA19449	0.0438	unrelated
NA19044	NA19451	0.0475	unrelated
NA19044	NA19452	0.0369	unrelated
NA19044	NA19453	0.0441	unrelated
NA19044	NA19455	0.0378	unrelated
NA19044	NA19456	0.0442	unrelated
NA19044	NA19457	0.0453	unrelated
NA19044	NA19461	0.0394	unrelated
NA19044	NA19462	0.0438	unrelated
NA19044	NA19463	0.0454	unrelated
NA19044	NA19466	0.0389	unrelated
NA19044	NA19467	0.0479	unrelated
NA19044	NA19468	0.0414	unrelated
NA19044	NA19469	0.0422	unrelated
NA19044	NA19470	0.0413	unrelated
NA19044	NA19471	0.0427	unrelated
NA19044	NA19472	0.0421	unrelated
NA19044	NA19473	0.043	unrelated
NA19044	NA19474	0.0399	unrelated
NA19046	NA19307	0.0771	unrelated
NA19046	NA19308	0.0442	unrelated
NA19046	NA19309	0.042	unrelated
NA19046	NA19310	0.0493	unrelated
NA19046	NA19311	0.0424	unrelated
NA19046	NA19312	0.0439	unrelated
NA19046	NA19313	0.0463	unrelated
NA19046	NA19315	0.0396	unrelated
NA19046	NA19316	0.0391	unrelated
NA19046	NA19317	0.048	unrelated
NA19046	NA19318	0.0459	unrelated
NA19046	NA19319	0.0446	unrelated
NA19046	NA19321	0.0752	unrelated
NA19046	NA19324	0.0431	unrelated
NA19046	NA19327	0.0368	unrelated
NA19046	NA19328	0.0533	unrelated
NA19046	NA19331	0.0445	unrelated
NA19046	NA19332	0.0434	unrelated
NA19046	NA19334	0.0428	unrelated
NA19046	NA19338	0.0498	unrelated
NA19046	NA19346	0.0448	unrelated
NA19046	NA19347	0.0474	unrelated
NA19046	NA19350	0.062	unrelated
NA19046	NA19351	0.0538	unrelated
NA19046	NA19352	0.0442	unrelated
NA19046	NA19355	0.0422	unrelated
NA19046	NA19359	0.0464	unrelated
NA19046	NA19360	0.0497	unrelated
NA19046	NA19371	0.0432	unrelated
NA19046	NA19372	0.043	unrelated
NA19046	NA19373	0.0449	unrelated
NA19046	NA19374	0.0431	unrelated
NA19046	NA19375	0.1158	unrelated
NA19046	NA19376	0.1032	unrelated
NA19046	NA19377	0.0428	unrelated
NA19046	NA19379	0.05	unrelated
NA19046	NA19380	0.0423	unrelated
NA19046	NA19381	0.0411	unrelated
NA19046	NA19382	0.0418	unrelated
NA19046	NA19383	0.0503	unrelated
NA19046	NA19384	0.0535	unrelated
NA19046	NA19385	0.0394	unrelated
NA19046	NA19390	0.0415	unrelated
NA19046	NA19391	0.0448	unrelated
NA19046	NA19393	0.0692	unrelated
NA19046	NA19394	0.0446	unrelated
NA19046	NA19395	0.039	unrelated
NA19046	NA19396	0.1092	unrelated
