ID1,ID2,PLINK_PIHAT,GERMLINE_IBD,BEAGLE_PIHAT
NA19035,NA19372,0.044,0.010580523823529411,0.006156298124999999
NA19035,NA19373,0.0462,0.008343663235294119,0.005770040625
NA19035,NA19374,0.0463,0.008710806176470588,0.0076870596875
NA19035,NA19375,0.0448,0.008684408823529412,0.0093291096875
NA19035,NA19376,0.0475,0.0009761714705882352,0.009220468124999999
NA19035,NA19377,0.0427,0.008730189705882354,0.008419971875
NA19035,NA19379,0.0403,0.008303649411764707,0.0033459690625
NA19035,NA19380,0.0398,0.007399397647058824,0.0069323431250000005
NA19035,NA19381,0.0452,0.008568772647058824,0.0025851453125000003
NA19035,NA19382,0.0439,0.008364640000000001,0.0032430928125000004
NA19035,NA19383,0.0428,0.007414890882352941,0.004376733125000001
NA19035,NA19384,0.0426,0.0077665405882352935,0.0069671690625
NA19035,NA19385,0.0341,0.007515399117647059,0.0023015128125
NA19035,NA19390,0.041,0.008986497352941176,0.0083458934375
NA19035,NA19391,0.0447,0.007399397647058824,0.005247825937500001
NA19035,NA19393,0.0415,0.010769093529411763,0.0083033171875
NA19035,NA19394,0.0432,0.00936901,0.0030195100000000004
NA19035,NA19395,0.0415,0.009605429705882353,0.0065598396875
NA19035,NA19396,0.0452,0.0015809085294117647,0.0085511096875
NA19035,NA19397,0.048,0.008418606176470588,0.0028929165625000003
NA19035,NA19398,0.0415,0.007399397647058824,0.010050144062499999
NA19035,NA19399,0.0482,0.0,0.004679086250000001
NA19035,NA19401,0.0408,0.00837556911764706,0.0055872278125
NA19035,NA19403,0.0419,0.0009861855882352941,0.0111725025
NA19035,NA19404,0.0456,0.009286191176470587,0.011512432812499999
NA19035,NA19428,0.0431,0.0,0.007260251562499999
NA19035,NA19429,0.0403,0.0,0.0072610821875
NA19035,NA19430,0.0411,0.0,0.00767916625
NA19035,NA19431,0.0471,0.007745462647058823,0.0100470328125
NA19035,NA19434,0.0405,0.0010874514705882352,0.0028300225
NA19035,NA19435,0.0425,0.007967201764705882,0.00942573
NA19035,NA19436,0.0477,0.007695647647058824,0.01210045375
NA19035,NA19437,0.0394,0.008099706764705882,0.009566637812499999
NA19035,NA19438,0.0423,0.0,0.00418314625
NA19035,NA19439,0.0457,0.00847890294117647,0.008220064062499999
NA19035,NA19440,0.0413,0.008417284117647058,0.0034837715625000002
NA19035,NA19443,0.044,0.008759530588235294,0.0031296503125
NA19035,NA19444,0.0373,0.001979589117647059,0.00665438125
NA19035,NA19445,0.0412,0.0076908164705882355,0.0021214140625
NA19035,NA19446,0.0441,0.008684408823529412,0.0077593184375
NA19035,NA19448,0.042,0.0010903282352941177,0.005852937187500001
NA19035,NA19449,0.047,0.0,0.0056168425
NA19035,NA19451,0.0465,0.0074435688235294116,0.0069366328124999994
NA19035,NA19452,0.0434,0.00901282411764706,0.0089572934375
NA19035,NA19453,0.0446,0.00973053823529412,0.0017249362500000001
NA19035,NA19455,0.042,0.007548294411764705,0.00786208375
NA19035,NA19456,0.0413,0.007378319705882353,0.0050610759375
NA19035,NA19457,0.0419,0.007399397647058824,0.004101176875
NA19035,NA19461,0.0423,0.007378319705882353,0.010335755
NA19035,NA19462,0.0431,0.0019562694117647057,0.0182665665625
NA19035,NA19463,0.0485,0.008341290588235295,0.0166059040625
NA19035,NA19466,0.0402,0.001033955588235294,0.00558663875
NA19035,NA19467,0.0536,0.00944519294117647,0.02410819125
NA19035,NA19468,0.0381,0.008657406470588234,0.00443579125
NA19035,NA19469,0.0407,0.0077665405882352935,0.0044956778125
NA19035,NA19470,0.0412,0.00782789588235294,0.0044745246875
NA19035,NA19471,0.042,0.007399397647058824,0.004573679375
NA19035,NA19472,0.0434,0.0018064308823529413,0.008210850624999998
NA19035,NA19473,0.0452,0.007745462647058823,0.0049607718750000005
NA19035,NA19474,0.0432,0.008581171176470588,0.0051984371875
NA19036,NA19038,0.0399,0.009102628823529411,0.0028413246874999997
NA19036,NA19041,0.0382,0.010149820294117647,0.010409247500000001
NA19036,NA19044,0.0421,0.0,0.00733444375
NA19036,NA19046,0.0463,0.0014208082352941175,0.0064992274999999995
NA19036,NA19307,0.045,0.01089351294117647,0.007924655000000001
NA19036,NA19308,0.0398,0.0020700767647058825,0.0036394599999999997
NA19036,NA19309,0.0395,0.0,0.0058415096875
NA19036,NA19310,0.0472,0.0,0.0049199265624999995
NA19036,NA19311,0.0382,0.001000215588235294,0.0084455459375
NA19036,NA19312,0.0436,0.009865962058823528,0.005339754999999999
NA19036,NA19313,0.0422,0.0032761952941176473,0.00863736625
NA19036,NA19315,0.0403,0.008973954705882354,0.0039203103125
NA19036,NA19316,0.0437,0.0,0.006928854062500001
NA19036,NA19317,0.0477,0.010292197647058823,0.006152970937499999
NA19036,NA19318,0.0438,0.0,0.003347405625
NA19036,NA19319,0.0406,0.0,0.010209679687499999
NA19036,NA19321,0.0425,0.0,0.0027690724999999998
NA19036,NA19324,0.041,0.004135041470588236,0.007742938437500001
NA19036,NA19327,0.0387,0.008898251764705881,0.008659653750000001
NA19036,NA19328,0.0463,0.008684408823529412,0.0075996803125
NA19036,NA19331,0.0452,0.0016185014705882353,0.007861815625
NA19036,NA19332,0.039,0.009342421176470588,0.001715283125
NA19036,NA19334,0.0421,0.0016185014705882353,0.003592459375
NA19036,NA19338,0.0453,0.009750782352941176,0.0052953890625
NA19036,NA19346,0.0473,0.010856777352941178,0.0078664446875
NA19036,NA19347,0.0406,0.0,0.003147904375
NA19036,NA19350,0.0469,0.0020539358823529414,0.007283051875000001
NA19036,NA19351,0.0409,0.010398783823529413,0.0032525790625
NA19036,NA19352,0.0487,0.0,0.0058120790624999995
NA19036,NA19355,0.0483,0.0009680435294117648,0.008756675625
NA19036,NA19359,0.0454,0.0027782611764705883,0.006517864375
NA19036,NA19360,0.0404,0.008848431470588235,0.0025129650000000003
NA19036,NA19371,0.0435,0.0014208082352941175,0.0063818878125
NA19036,NA19372,0.0388,0.0019060991176470586,0.00152414625
NA19036,NA19373,0.0466,0.0,0.004262958125
NA19036,NA19374,0.0464,0.002208469117647059,0.0031677815625
NA19036,NA19375,0.044,0.0012404326470588235,0.0063723225
NA19036,NA19376,0.052,0.0013570273529411765,0.009483042187499999
NA19036,NA19377,0.0444,0.01080044617647059,0.00815789625
NA19036,NA19379,0.0472,0.0,0.006084236874999999
NA19036,NA19380,0.0411,0.0013739426470588236,0.005012971874999999
NA19036,NA19381,0.0399,0.007862196176470588,0.0067965696875
